,Location,Period,Dim1,First Tooltip,No
260,安提瓜和巴布达,2013,Female,0.0,AG
261,安提瓜和巴布达,2012,Both sexes,0.0,AG
262,安提瓜和巴布达,2012,Male,0.0,AG
263,安提瓜和巴布达,2012,Female,0.0,AG
264,安提瓜和巴布达,2011,Both sexes,0.16,AG
265,安提瓜和巴布达,2011,Male,0.15,AG
266,安提瓜和巴布达,2011,Female,0.17,AG
267,安提瓜和巴布达,2010,Both sexes,0.13,AG
268,安提瓜和巴布达,2010,Male,0.28,AG
269,安提瓜和巴布达,2010,Female,0.0,AG
270,安提瓜和巴布达,2009,Both sexes,0.0,AG
271,安提瓜和巴布达,2009,Male,0.0,AG
272,安提瓜和巴布达,2009,Female,0.0,AG
273,安提瓜和巴布达,2008,Both sexes,0.25,AG
274,安提瓜和巴布达,2008,Male,0.53,AG
275,安提瓜和巴布达,2008,Female,0.0,AG
276,安提瓜和巴布达,2007,Both sexes,0.33,AG
277,安提瓜和巴布达,2007,Male,0.7,AG
278,安提瓜和巴布达,2007,Female,0.0,AG
279,安提瓜和巴布达,2006,Both sexes,0.44,AG
280,安提瓜和巴布达,2006,Male,0.94,AG
281,安提瓜和巴布达,2006,Female,0.0,AG
282,安提瓜和巴布达,2005,Both sexes,1.32,AG
283,安提瓜和巴布达,2005,Male,2.89,AG
284,安提瓜和巴布达,2005,Female,0.0,AG
285,安提瓜和巴布达,2004,Both sexes,1.95,AG
286,安提瓜和巴布达,2004,Male,4.33,AG
287,安提瓜和巴布达,2004,Female,0.0,AG
288,安提瓜和巴布达,2003,Both sexes,1.44,AG
289,安提瓜和巴布达,2003,Male,3.19,AG
290,安提瓜和巴布达,2003,Female,0.0,AG
291,安提瓜和巴布达,2002,Both sexes,1.25,AG
292,安提瓜和巴布达,2002,Male,2.79,AG
293,安提瓜和巴布达,2002,Female,0.0,AG
294,安提瓜和巴布达,2001,Both sexes,1.88,AG
295,安提瓜和巴布达,2001,Male,4.17,AG
296,安提瓜和巴布达,2001,Female,0.0,AG
297,安提瓜和巴布达,2000,Both sexes,2.01,AG
298,安提瓜和巴布达,2000,Male,4.46,AG
299,安提瓜和巴布达,2000,Female,0.0,AG
300,阿根廷,2019,Both sexes,8.14,AR
301,阿根廷,2019,Male,13.48,AR
302,阿根廷,2019,Female,3.31,AR
303,阿根廷,2018,Both sexes,8.99,AR
304,阿根廷,2018,Male,14.91,AR
305,阿根廷,2018,Female,3.59,AR
306,阿根廷,2017,Both sexes,8.69,AR
307,阿根廷,2017,Male,14.31,AR
308,阿根廷,2017,Female,3.55,AR
309,阿根廷,2016,Both sexes,8.06,AR
310,阿根廷,2016,Male,13.55,AR
311,阿根廷,2016,Female,3.08,AR
312,阿根廷,2015,Both sexes,8.1,AR
313,阿根廷,2015,Male,13.51,AR
314,阿根廷,2015,Female,3.23,AR
315,阿根廷,2014,Both sexes,9.16,AR
316,阿根廷,2014,Male,15.07,AR
317,阿根廷,2014,Female,3.71,AR
318,阿根廷,2013,Both sexes,8.45,AR
319,阿根廷,2013,Male,14.2,AR
320,阿根廷,2013,Female,3.14,AR
321,阿根廷,2012,Both sexes,8.96,AR
322,阿根廷,2012,Male,15.05,AR
323,阿根廷,2012,Female,3.42,AR
324,阿根廷,2011,Both sexes,8.42,AR
325,阿根廷,2011,Male,14.01,AR
326,阿根廷,2011,Female,3.3,AR
327,阿根廷,2010,Both sexes,8.43,AR
328,阿根廷,2010,Male,14.31,AR
329,阿根廷,2010,Female,3.11,AR
330,阿根廷,2009,Both sexes,8.35,AR
331,阿根廷,2009,Male,14.04,AR
332,阿根廷,2009,Female,3.21,AR
333,阿根廷,2008,Both sexes,8.59,AR
334,阿根廷,2008,Male,14.48,AR
335,阿根廷,2008,Female,3.34,AR
336,阿根廷,2007,Both sexes,8.17,AR
337,阿根廷,2007,Male,13.75,AR
338,阿根廷,2007,Female,3.23,AR
